id,name,school_college,url,is_submajor
actuarial-mathematics-sub-major-of-mathematics--majors-minors-html-actuarial-mathematics-sub,Actuarial Mathematics (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#actuarial_mathematics-sub,True
aerospace-engineering--undergraduate,Aerospace Engineering,College of Engineering,https://aero.engin.umich.edu/undergraduate/,False
afroamerican-and-african-studies--majors-minors-html-afroamerican-and-african-studies-maj,Afroamerican and African Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#afroamerican_and_african_studies-maj,False
american-culture--majors-minors-html-american-culture-maj,American Culture,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#american_culture-maj,False
anthropology--majors-minors-html-anthropology-maj,Anthropology,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#anthropology-maj,False
applied-exercise-science,Applied Exercise Science,School of Kinesiology,https://www.kines.umich.edu/academics/applied-exercise-science,False
archaeology-sub-major-of-anthropology--majors-minors-html-archaeology-sub,Archaeology (Sub-major of Anthropology),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#archaeology-sub,True
archaeology-of-the-ancient-mediterranean--majors-minors-html-archaeology-of-the-ancient-mediterranean-maj,Archaeology of the Ancient Mediterranean,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#archaeology_of_the_ancient_mediterranean-maj,False
architecture--bachelor-of-science-in-architecture-first-year,Architecture,Taubman College of Architecture & Urban Planning,https://taubmancollege.umich.edu/admissions/apply/bachelor-of-science-in-architecture-first-year/,False
art-and-design--undergraduate-programs,Art and Design,Stamps School of Art & Design,https://stamps.umich.edu/undergraduate-programs,False
arts-and-ideas-in-the-humanities-administered-by-the-residential-college--majors-minors-html-arts-and-ideas-in-the-human,Arts and Ideas in the Humanities (Administered by the Residential College),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#arts_and_ideas_in_the_humanities-maj,False
asian-studies--majors-minors-html-arab-and-muslim-american-studies-min,Asian Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#arab_and_muslim_american_studies-min,False
astronomy-and-astrophysics--majors-minors-html-astronomy-and-astrophysics-maj,Astronomy and Astrophysics,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#astronomy_and_astrophysics-maj,False
biochemistry--majors-minors-html-biochemistry-bs-maj,Biochemistry,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#biochemistry_bs-maj,False
biological-physics-sub-major-of-biophysics--biological-physics-sub-major-html,Biological Physics (Sub-major of Biophysics),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors/biological-physics-sub-major.html,True
biology--majors-minors-html-biology-maj,Biology,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#biology-maj,False
biology-health-and-society--majors-minors-html-general-biology-maj,"Biology, Health, and Society","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#general_biology-maj,False
biomedical-engineering--academics,Biomedical Engineering,College of Engineering,https://bme.umich.edu/academics/,False
biomolecular-science--majors-minors-html-biomolecular-science-ab-or-bs-maj,Biomolecular Science,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#biomolecular_science_ab_or_bs-maj,False
biophysics--majors-minors-html-biophysics-bs-maj,Biophysics,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#biophysics_bs-maj,False
