If you would like to request a course at the University of Michigan to be reviewed to be considered as one of the lists of electives for the Data Science major for all students, please fill out this form.  *Please note: Undergraduates are not guaranteed seats in graduate level courses. To request access to a Graduate EECS course, contact the instructor directly. Details about graduate level Statistics courses can be found here.   **DS-LSA students: please note, CSE 401X is considered non-LSA credit and does not contribute to the LSA credit requirement        		
Course	Title 	Credits 
ANTHRBIO 463	Statistical Modeling and Data Visualization in R	4
ASTRO 361	Astronomical Techniques	4
ASTRO 406	Computational Astrophysics 	3
ASTRO 416	Data Science for Astrophysicists	3
BIOINF 463/BIOPHYS 463/MATH 463	Mathematical Modeling in Biology 	3
BIOINF 527 	Introduction to Bioinformatics & Computational Biology	4
BIOINF 528	Structural Bioinformatics	3
BIOINF 529	Bioinformatics Concepts and Algorithms	3
BIOINF 547/MATH 547/STATS 547 	Mathematics of Data	3
BIOINF 580	Introduction to Signal Processing and Machine Learning in Biomedical Sciences	3
BIOPHYS 445/CMPLXSYS 445/MATH 445/PHYSICS 445	Intro to Info Theory 	3
BIOSTAT 449/STATS 449	Topics in Biostatistics	3
CLIMATE 323/EARTH 323/SPACE 323 	Earth Systems Analysis 	4
CMPLXSYS 466/EEB 466/MATH 466	Mathematical Ecology	3
CMPLXSYS 510/MATH 550	Introduction to Adaptive Systems	3
COGSCI 445/LING 445 	Machine Learning for NLP	3
Select CSE 401X courses**  Please contact your advising office for assistance updating your degree audit to reflect one of these courses as Application Elective. 	IFSA Prague- Introduction to Machine Learning 	3
	IFSA Prague- Introduction to Artificial Intelligence 	3
	IFSA Prague- Database Management Systems 	3
CSE 585*	Advanced Scalable Systems 	4
CSE 587*	Parallel Computing	4
CSE 595*	Natural Language Processing	3
DATASCI 306 (formerly STATS 306)	Intro to Statistical Computing 	4
DATASCI 315 (formerly STATS 315)	Statistics and Artifical Intelligence	4
DATASCI 406	Computational Methods in Statistics and Data Science 	3
EARTH 408/ENVIRON 403 	Introduction to GIS in the Earth Sciences	3
ECON 408 	Experiments in Economics 	4
ECON 409	Game Theory	4
ECON 452 	Intermediate Intro to Statistics and Econometrics II 	4
EEB 391	Introduction to Evolution: Quantitative Approach	4
EECS 367/ROB 380	Introduction to Autonomous Robotics	4
EECS 442	Computer Vision	4
EECS 448	Applied Machine Learning for Modeling Human Behavior	4
EECS 449	Conversational Artificial Intelligence	4
EECS 465/ROB 422	Intro to Algorithmic Robotics	3
EECS 467	Autonomous Robotics	4
EECS 471	Applied Parallel Programming with GPUs	4
EECS 476	Data Mining	4
EECS 486	Information Retrieval and Web Search	4
EECS 493	User Interface Development 	4
EECS 504	Fnd Computer Vision	3
EECS 548/SI 649	Information Visualization 	3
IOE 373	Data Analytics Tools and Techniques	4
IOE 413	Optimization Modeling in Health Care	3
IOE 452/MFG 445	Corporate Finance	3
LING 441	Introduction to Computational Linguistics	3
MATH 423	Mathematics of Finance	3
MATH 523	Loss Models I	3
POLSCI 490	Game Theory and Formal Models	4
POLSCI 499 Survey Design & Analys	Survey Design and Analysis 	4
STATS 485 (formerly DATASCI 485)	Capstone Seminar	3
SI 345	Data Manipulation	4
SI 650	Information Retrieval 	3
