This requirement is only relevant to:  DS-LSA students who declare Winter 2024 or later &  DS-Eng students who matriculate to the University Fall 2024 or later   If you would like to request a course at the University of Michigan to be reviewed to be considered as one of the lists of electives for the Data Science major for all students, please fill out this form.		
Course(s)	Title 	Credits
DATASCI 306 (formerly STATS 306)	Introduction to Statistical Computing 	4
DATASCI 315 (formerly STATS 315)	Statistics and Artificial Intelligence 	4
DATASCI 415 (formerly STATS 415)	Data Mining and Statistical Learning	4
MATH/STATS 525 	Probability Theory	3
MATH/STATS 526	Discrete State Stochastic Processes	3
STATS 426	Introduction to Theoretical Statistics	3
STATS 449	Topics in Biostatistics	3
DATASCI 451 (formerly STATS 451)	Bayesian Data Analysis 	4
DATASCI 470 (formerly STATS 470)	Introduction to the Design of Experiments	4
STATS 480 	Survey Sampling Techniques	4
STATS (formerly DATASCI 485)	Capstone Seminar	3
BIOINF 545/BIOSTAT 646/STATS 545	High Throughput Molecular Genomic and Epigenomic Data Analysis	3
BIOINF 547/MATH 547/STATS 547	Mathematics of Data	3
STATS/DATASCI 531	Modeling and Analysis of Time Series Data	3
STATS 571 	Causal Inference	3
