revised: 10/20/2025	
Environmental Engineering Sample Schedule	Credit Hours	Term 1	Term 2	Term 3	Term 4	Term 5	Term 6	Term 7	Term 8
Subjects Required by all Programs (55 hours)									
MATH 115, 116, 215, 216	16	4	4	4	4	-	-	-	-
ENGR 100, Intro to Engineering	4	4	-	-	-	-	-	-	-
ENGR 101, Intro to Computers	4	-	4	-	-	-	-	-	-
CHEM 130 & 125/126 or CHEM 210 and 211¹	5	5	-	-	-	-	-	-	-
PHYSICS 140 with Lab 141²	5	-	5	-	-	-	-	-	-
PHYSICS 240 with Lab 241²	5	-	-	5	-	-	-	-	-
Intellectual Breadth (includes ECON 101 or 102)	16	4	4	-	-	4	4	-	-
Mathematical Methods (7 hours) +									
CEE 303, Computational Methods	4	-	-	-	-	-	4	-	-
CEE 373, Statistical Methods	3	-	-	-	-	3	-	-	-
Technical Core Subjects (32 hours)³+									
CHEM 210, Structure & Reactivity	3	-	-	-	3	-	-	-	-
CEE 200, Intro to Civil & Environmental Engineering	1	-	-	-	1	-	-	-	-
CEE 211, Statics and Dynamics	4	-	-	4	-	-	-	-	-
CEE 230, Thermodynamics and the Environment	3	-	-	3	-	-	-	-	-
CEE 265, Sustainable Engineering Principles	3	-	-	-	3	-	-	-	-
CEE 325, Fluid Mechanics	4	-	-	-	4	-	-	-	-
CEE 365, Environmental Engineering Principles	4	-	-	-	-	4	-	-	-
CEE 366, Environmental Engineering Laboratory	3	-	-	-	-	-	3	-	-
CEE 421, Hydrology and Floodplain Hydraulics	4	-	-	-	-	-	-	4	-
CEE 465, Environmental Process Engineering	3	-	-	-	-	-	-	3	-
Environmental Sciences (9 hours) +									
Earth Science Elective (CLIMATE 320, 410, 463 or 475 or   EARTH 305, 315, 321, 323, 442, 451 or 477)	3	-	-	-	-	-	-	3	-
CEE 481/581, Aquatic Chemistry	3	-	-	-	-	-	-	-	3
CEE 482/582, Environmental Microbiology	3	-	-	-	-	-	-	3	-
Environmental Engineering Design (4 hours) +									
CEE 402, Professional Issues & Design⁵	4	-	-	-	-	-	-	-	4
Technical Electives (9 hours)⁴+									
Water Quality and Health:									
 CEE 428*, CEE 480*,CEE 590, CHE 342, PUBHLTH 305	9	-	-	-	-	-	3	3	3
Atmospheric and Earth Systems:									
CEE 563*, CEE 564*, CLIMATE 463, CLIMATE 467, EARTH 413									
Environmental Fluid Dynamics:									
CEE 428*, CEE 521, CEE 522, CEE 526*, CEE 527*									
Energy and Sustainable Infrastructure:									
CEE 567, URP 423, EARTH 344									
Environmental Policy and Entrepreneurship:									
 ENGR 520, EAS 475, CLIMATE 480, ME 589									
General Electives (12 hours)	12	-	-	-	-	4	-	4	4
Total	128	17	17	16	15	15	17	17	14
Candidates for the Bachelor of Science degree in Engineering (Environmental Engineering) - B.S.E. (Env.E.) - must complete the program listed above. This sample schedule is an example of one leading to graduation in eight terms.									
Notes: Courses offered only in the fall term are purple. Courses offered only in the winter term are green.									
(+) Environmental Engineering students must earn a C- or better in all courses whose categories are marked with a plus.									
¹- If you have a satisfactory score or grade in Chemistry AP, A-Level, IB Exams, or transfer credit from another institution for Chemistry 130/125/126, you will have met the Chemistry Core Requirement for the College of Engineering									
²- If you have a satisfactory score or grade in Physics AP, A-Level, IB Exams, or transfer credit from another institution for Physics 140/141 and 240/241, you will have met the Physics Core Requirement for the College of Engineering.									
³- CEE may accept equivalent courses offered by other departments in the College of Engineering, with permission of the program advisor.									
⁴- At least two of the three technical electives must be CEE courses, including one design course: CEE 428, 480, 526, 527*, 563, or 564 (design courses are marked with an *).									
⁵- CEE 402 must be taken in the last Winter semester.
