Page header:
page title: Google Sheet export (all tabs)

Visible page text:
### Sheet: China
COURSE NUMBER	COURSE NAME	CREDITS																							
ASIAN 304	The Art of Yoga	3
ASIAN 305	Religion and Violence in the Secular World	3.0
ASIAN 306	What is Religion	3.0
ASIAN 313	Modern East Asian Fiction	3.0
ASIAN 314	Strange Ways: Literature of the Supernatural in Pre-modern Japan and China	3.0
ASIAN 322	War Tales: Histories of Violence in Medieval and Early Modern Japan and China	3.0	
ASIAN 325	Zen: History, Culture, and Critique	4.0	
ASIAN 329	Buddhism, Politics, and Violence in Modern Asia	3.0	
ASIAN 340	From Genghis Khan to the Taliban: Modern Central Asia	4.0	
ASIAN 349	Confucianism: Reinventions of Tradition	3.0
ASIAN 350	Gods, Ghosts, and Gangsters: Popular Religion in China	3.0
ASIAN 351	Chinese Food in Crisis: Health, Ecology, and Identity in an Age of Globalization	3.0
ASIAN 352	Gender, Sexuality, and Power in Premodern China	3.0
ASIAN 353	China Around the World: Power, Politics, and Translation	3.0
ASIAN 354	War, Rebellion, and Revolution in China Through Two Centuries	3.0
ASIAN 355	How Communism Changed China	3.0
ASIAN 356	Contemporary Chinese Performance Culture	3.0
ASIAN 357	Sensuous Pleasures: China's Forbidden Novel, Jin Ping Mei	3.0
ASIAN 358	The Art of War: Military Ethics in Ancient China	3.0
ASIAN 359	Crime and Detection in Chinese Literature	3.0
ASIAN 360	Taoism: Historical and Contemporary Incarnations	3.0
ASIAN 361	HU Topics in Chinese Studies	3.0
ASIAN 362	The Travels of the Monkey King in China and Abroad	3.0
ASIAN 363	Chinese Drama and Theater	3.0
ASIAN 364	The Development of Chinese Fiction	3.0
ASIAN 365	Doctors in the Ancient World: China, Greece, and Rome	3.0
ASIAN 366	Controversies in Contemporary China	3.0
ASIAN 367	Languages of Asia	3.0
ASIAN 368	How Different is Chinese	3.0
ASIAN 369	Chinese Film	3.0
ASIAN 370	Acupuncture: Historical and Contemporary Transformations	3.0
ASIAN 371	Natural Disasters in East Asia	4.0
ASIAN 380	Topics in Asian Studies	3.0
	Revolution Plus Love: The Politics of Emotion in Modern China	
	East Asian Horror Films	
	Regarding China	
	Principles of Self-Cultivation in Chinese Cultures	
	Seeing in Asia, Showing Asia	
	What is Religion?	
	The Perils of Peony Pavilion: Modern Stagings of a Classical Chinese Play	
	Violence, Nonviolence, and the Buddhist Traditions of Asia	
	Alchemy, Immortality, and Enlightenment: Chinese Religiosities, Past and Present	
	Cultural Politics in Modern China	
	Contemporary Chinese Poetry	
	The China Problem in Korea	
	Death and Mourning in Early China	
	Contemporary Art in China and Japan	
ASIAN 382	Approaches to Asian Studies	3.0
ASIAN 387	Hate in Asia: Cultures of Conflict and Reconciliation	3.0
ASIAN 389	Culture in East Asian Business, Past and Present	4.0
ASIAN 393	Human Rights in China from Classical Times through the 18th Century: a Historical and Cultural Survey	3.0
ASIAN 402	East Asian Performance Theory	3.0
ASIAN 407	Drug Lords, Prophets, and Adventures: East Asia and the Age of Global Empire	3.0
ASIAN 409	Exploring Consciousness: Neuro-cultures and Asian Philosophies of Mind	3.0
ASIAN 415	Law and Society in Late Imperial and Modern China	3.0
ASIAN 428	China's Evolution Under Communism	3.0
ASIAN 440	National Cinema of Asia	3.0
ASIAN 467	Lu Xun and Modern China	3.0
ASIAN 469	Modern Chinese Visual Culture	3.0
ASIAN 470	Saga of the Three Kingdoms: From History to Videogames	3.0
ASIAN 477	The Theory and Practice of Translation	3.0
ASIAN 480	Topics in Asian Studies	3.0
	Qing Studies, 1600-1927	
	Chinese Popular Religion	
	Development of Chinese Fiction	
	Natives of Desire by Modern Chinese Women Writers	
	What is Literature? A Critical History of Reading and Writing in East Asia	
	Translating Modern Chinese Poetry	
	Contemporary China	
	History of Chinese Language	
	Food in China	
	Dance in Modern Asia: History, Identity, Politics	
	Strange Ways	
	Scandalous Fiction: Jin Ping Mei and Everyday Life in Early Modern China	
	Reading the Zhuangzi	
	Asian Solidarity Movements in Twentieth Century	
	Three Kingdoms Lab	
	New Media and Asian Societies	
ASIAN 483	The Lives of the Buddha, From India to Manga	3.0
ASIAN 484	Buddhist Tantra	3.0
ASIAN 485	Religion in China	3.0
ASIAN 486	Buddhist Meditation	3.0
ASIAN 488	Tibetan Buddhism	3.0
ASIAN 490	Contemporary China	3.0
ASIANLAN 301	Third-Year Chinese I	5.0
ASIANLAN 302	Third-Year Chinese II	5.0
ASIANLAN 303	Intensive Third-Year Chinese	10.0
ASIANLAN 304	Third-Year Chinese for Heritage Speakers	4.0
ASIANLAN 307	Mandarin for Cantonese Speakers I	2.0
ASIANLAN 308	Mandarin for Cantonese Speakers II	2.0
ASIANLAN 401	Advanced Spoken Chinese I	2.0
ASIANLAN 402	Advanced Spoken Chinese II	2.0
ASIANLAN 403	Overview of the Chinese Language	3.0
ASIANLAN 404	Reading and Writing Chinese IV	4.0
ASIANLAN 405	Business Chinese I	3.0
ASIANLAN 406	Business Chinese II	3.0
ASIANLAN 407	Advanced Reading and Writing Chinese I	3.0
ASIANLAN 408	Advanced Reading and Writing Chinese II	3.0
ASIANLAN 409	Classical Chinese in Modern Context	3.0
ASIANLAN 410	Media Chinese	3.0
ASIANLAN 445	Chinese Language Pedagogy	3.0
ASIANLAN 480	Topics in Asian Language	43834.0

### Sheet: Japan
COURSE NUMBER	COURSE NAME	CREDITS																							
ASIAN 300	Love and Death in Japanese Culture	3.0
ASIAN 301	Writing Japanese Women	3.0
ASIAN 302	Rewriting Identities in Modern Japan	3.0
ASIAN 304	The Art of Yoga	3.0
ASIAN 305	Religion and Violence in the Secular World	3.0
ASIAN 306	What is Religion	3.0
ASIAN 310	Family in Japan	3.0
ASIAN 311	The Image of the Samurai	3.0
ASIAN 312	After Defeat: The Cultural History of Postwar Japan	3.0
ASIAN 313	Modern East Asian Fiction	3.0
ASIAN 314	Strange Ways: Literature of the Supernatural in Pre-modern Japan and China	3.0
