### Sheet: Sheet1
Course #	Title	Major Requirement	LSA Distribution	Notes																				
WGS 211	Gender & Popular Culture	"Gender, Culture, & Rep."	HU	Please note: Topics courses may be repeated. However, the same 
topic cannot be taken more than once for credit.																				
WGS 212	The Global HIV/AIDS Epidemic	Gender in a Global Context																					
WGS 217	Intro to Women & Literature:
Women Making Waves: Feminist Activism Since the 60s	"Gender, Culture, & Rep."	HU																					
WGS/NURS 220	Women & Health	"Gender, Race, & Ethnicity"	SS, R&E																					
WGS 240	Intro to Women's and Gender Studies	Prerequisite	HU, R&E																					
WGS 245	Intro to LGBTQ+ Studies	LGBTQ+ & Sexuality	ID																					
WGS 250	Race, Gender, and Nation	Gender in a Global Context	SS, R&E																					
WGS 252.002	1 Credit Mini-course: The War on Gender	LGBTQ+ & Sexuality, Gender in a Global Context		1-credit Minicourse																				
WGS 253	Topics: Jewish Women, Body of Tradition	Elective																						
WGS 257	Topics: Romance and Intimacy	Elective	SS																					
WGS 275	Black Women in Popular Culture	"Gender, Race, & Ethnicity", "Gender, Culture, & Rep."	ID																					
WGS 307	Critical Theory in Medicine & Healing	Gender in a Global Context	SS																					
WGS 314	Gender & Sexuality Studies in Literature:
Queer of Color Literature and Culture	"Gender, Culture, & Rep."	HU																					
WGS 315	Women and Literature	"Gender, Culture, & Rep."	HU																					
WGS 322	Black Feminist Approaches to Health	"Gender, Race, & Ethnicity", "Gender, Culture, & Rep."																						
WGS 323	Black Feminist Thought and Practice	"Gender, Race, & Ethnicity", "Gender, Culture, & Rep."	HU																					
WGS 324	Childbirth & Culture	Gender in a Global Context	SS																					
WGS 330.001	Feminist Thought	Feminist Theory																						
WGS 330.001	Feminist Thought	Feminist Theory																						
WGS 332	Gender & Power in Southeast Asia	"Gender, Culture, & Rep.", Gender in a Global Context	HU																					
WGS 333	Biomedical Knowledge, Science, and Power	Gender in a Global Context	ID																					
WGS 343.001	Special Topics: Arab American Gender Politics	"Gender, Race, & Ethnicity"																						
WGS 343.002	Special Topics: Biblical Masculinities	"Gender, Race, & Ethnicity"																						
WGS 345	The Sexual Life of Colonialism & Empire	Gender in a Global Context																						
WGS 348	Sociology of Sexualities	LGBTQ+ & Sexuality	SS																					
WGS 351	Leading Feminism	Practicum																						
WGS 365	Global Perspectives on Gender, Health and Reproduction	"Gender, Race, & Ethnicity", Gender in a Global Context	SS																					
WGS 370	Queer Histories of the U.S.	LGBTQ+ & Sexuality, "Gender, Race, & Ethnicity", "Gender, Culture, & Rep."																						
WGS 380	Topics: 20th Century LGBT History	LGBTQ+ & Sexuality																						
WGS 404	Gender Based Violence: From Theory to Action	Practicum																						
WGS 410	Reproductive Justice: Legal & Ethical Issues	"Gender, Race, & Ethnicity"																						
WGS 414	Studies in Women and Literature	"Gender, Culture, & Rep."																						
WGS 415	LGBTQ Reproduction	LGBTQ+ & Sexuality																						
WGS 416	Feminist and Queer Sex Work	LGBTQ+ & Sexuality																						
WGS 431	Topics: Queer Arts of Survival	LGBTQ+ & Sexuality	ULWR																					
WGS 431	Topics: Dancing Women/Dancing Queer	LGBTQ+ & Sexuality																						
WGS 434	Topics: Dance & Technology	"Gender, Race, & Ethnicity", "Gender, Culture, & Rep."																						
WGS 439	Black Intimacies in the U.S.	LGBTQ+ & Sexuality, "Gender, Race, & Ethnicity", "Gender, Culture, & Rep."																						
WGS 449	Diagnosis, Sex and Society	LGBTQ+ & Sexuality																						
WGS 451	Women, Inequality, and Work	Elective																						
